Bioactivity,nPepSeq
Diuretic_hormone,303
Putative_peptide3,303
Gastrin-releasing_peptide,302
Glycoprotein_hormones_alpha_chain_1,298
ion_transport_peptide,298
bitter_taste,297
Prothymosin_alpha,297
cell_aggregation_regulator,296
Glycoprotein_hormones_alpha_chain_2,292
Dermcidin,289
Crustacean_hyperglycemic_hormone_2,286
Ceratotoxin,281
Aptotoxin_1_4_6_9_Paralytic_peptide,280
Crustacean_hyperglycemic_hormone_A,280
Neurophysin_1,277
Crustacean_hyperglycemic_hormone_3,276
Glucagon-like_peptide_1,272
allergic,271
Light_yellow_cell_peptide,269
Androgenic_gland_hormone,268
structural_role_in_biosynthesis,266
Acrorhagin,264
Glycoprotein_hormone_beta-5,263
Gonadotropin_subunit_beta-1,263
Tachystatin,261
Gonadotropin_subunit_beta-2,260
photosynthesis_participant,260
Pilosulin,260
Male_accessory_gland_protein,259
Gonadotropin_beta-I_chain,258
GTH-I-beta,258
Eyestalk_peptide,257
Follicular_dendritic_cell_secreted_peptide,255
Parabutoporin,255
Neuroactive_polyprotein_R15,253
conotoxin_P,251
biosynthesis_inhibitor,249
Periviscerokinin,246
Beta-endorphin,245
Crustacean_hyperglycemic_hormone_5,244
antiamnestic,240
Alpha_D_conotoxin,235
Anionic_peptide_clone_precursor,233
turritoxin,233
Gonadotropin_beta-II_chain,232
Ornatin,232
Prothoracicotropic_hormone,231
Seminal_vesicle_specific_peptide,228
Cholecystokinin-70,223
ligand_binding_inhibitor,222
Hymenoptaecin,221
CART_peptide,219
Megourin,214
Oxytoxin,211
AlCRP,207
ion_transport_inhibitor,204
Crustacean_hyperglycemic_hormone_1,203
alpha-amylase_inhibitor,198
diuretic,198
Diuretic_hormone_2,198
Diuretic_hormone_1,195
Secretin,195
heparin_binding,194
Sodium_channel_blocker,194
Halocidin_subunit,193
Mandibular_organ-inhibiting_hormone_1,192
receptor-stimulating,192
Mandibular_organ-inhibiting_hormone_2,190
Venom_peptide,190
Corticoliberin,189
Vitellogenesis-inhibiting_hormone,189
Ponericin,188
Cholecystokinin-33,187
enzyme_degradation_regulator,187
protein_translation_inhibitor,183
diapausin,182
Crustacean_hyperglycemic_hormones_7,181
Cholecystokinin_69,180
Xenoxin,179
Crustacean_hyperglycemic_hormone_4,178
Androgenic_gland_hormone_B_chain,177
chemotaxis_regulator,177
Statherin,176
Melittin,175
Thymosin_beta-10,175
Crustacean_hyperglycemic_hormone_isoform_1,174
Melanotropin_beta,174
Thymosin_beta-4,174
Crustacean_hyperglycemic_hormone_6,172
Gonad-inhibiting_hormone,172
hemopoietic,172
alpha-glucosidase_inhibitor,171
Drosocin,169
Mandibular_organ-inhibiting_hormone,168
oxyopinin_2,168
synthesis_stimulator,167
Cholecystokinin-58_desnonopeptide,166
Molt-inhibiting_hormone-like,166
aptotoxin,165
conotoxin_J,165
Styelin,165
Vespid_chemotactic_peptide,165
LiTx_toxin,163
Lytic_peptide,163
Myotoxins,161
Neurotoxin_B,161
pathogenic,161
Pancreatic_icosapeptide,160
Conotoxin_Gla,159
Oxyntomodulin,158
xin_AETX,158
anti_inflammatory,157
competence_factor,156
sporulation_factor,156
Scorpion_Venom_peptide_toxin,155
sex_regulator,154
Abaecin,152
Cholecystokinin-39,147
defense_gene_activator,147
Testis_ecdysiotropin_peptide,147
cell_aggregation_inhibitor,146
Obestatin,146
Conantokin,145
Egg-laying_hormone,144
Trypanocidal,144
Myticin,143
Prolactin_release-inhibiting_factor_1,141
Alpha_S_conotoxin,139
bind_various_heavy_metals,138
Thymosin_beta-12,136
Ectatomin,135
Peptide_hormone,135
Peptide_YY-like,135
Ghrelin_hormone,134
stimulator_of_hormone_synthesis,134
P6K,132
Pardaxin,132
Paralytic_insecticial_toxin,131
protein_synthesis_inhibitor,131
Host_defense_peptides,130
Bombolitin,129
Growth_hormone-releasing_factor_1-46,129
Clavanin,128
neuroprotective,128
Accessory_gland_peptide_Acp33A,125
Conotoxin_flf14,122
protein_dimerization_activator,122
Alpha_A_conotoxin,121
Gonadoliberin,121
Histatin,121
transcription_regulator,119
Diuretic_hormone_class_1,118
precipitation_inhibitor,117
Histidine-rich_amphipathic_cationic_peptides,116
Pituitary_adenylate_cyclase-activating_polypeptide,116
copper_II-chelating,115
Pituitary_adenylate_cyclase-activating_polypeptide_38,115
receptor_ligand,115
janus_atracotoxin,114
DNA-repair,113
Lycotoxin,113
Mlpt,113
feeding_behavior,112
receptor_inhibitor,112
Mast_cell_degranulating_peptide,111
Acanthoscurrin,110
cell_agglutinator,110
Gamma-delta-bag_cell_peptide,110
Dynastin,109
scorpion_TsTXK?_molecular_subfamily,109
allergen,106
Thymosin_beta-a,103
ribosome-inactivating,102
heavy-metal-binding,101
hypotensive,101
migration-inducing,101
Ovulation_hormone,101
Androgenic_gland_hormone_A_chain,100
Gastric_inhibitory_polypeptide,100
feeding_circuit_activator,98
Glucagon-like_peptide_1A,98
induction_factor,98
Insulin-2_B_chain,98
Pseudin,98
hemodynamic,97
Thymosin_beta-11,97
vasoconstrictor,97
Cell_penetrating_peptide,96
Delta-bag_cell_peptide,96
Gamma-melanotropin-like_segment,96
immunostimulating,96
chromatin_assembly_or_disassembly,95
competence_peptide,95
Accessory_gland_protein_98,94
Egg-laying-like_hormone,94
transcription_factor,94
sea_anemone_short_toxin,93
Diapause_hormone_homolog,92
enzyme_synthesis_activator,92
salt_precipitation_inhibitor,92
ecdysiotropic,91
Prolactin-releasing_peptide_PrRP31,91
Thymosin_beta-b,91
antiinsecticidal,90
activator_of_gene_expression,89
apoptosis,89
Thymosin_beta-8,88
angiogenic,87
Hyposin,87
Pigment-dispersing_hormone,87
Diuretic_hormone_class_2,86
Phylloseptin,85
Tamulustoxin,84
channel_inhibitor,83
Cholecystokinin-40,83
gene_expression_activator,83
Glucagon-like_peptide_1-I,83
Glucagon-like_peptide_1B,83
Host_defense_insecticidal_agent,83
Cholecystokinin_36,82
Glucagon-like_peptide_1-1,82
Potassium_channel_toxin_kappa_KTx,82
siloca-precipitating,82
Diuretic_hormone_class-II,81
Relaxin-3_B_chain,81
Salmocidin,81
Insulin-2_A_chain,80
Glucagon-like_peptide_1C,79
Glucagon-like_peptide_2-II,79
Relaxin-3_A_chain,79
apidaecin,77
Glucagon-like_peptide_2-I,77
Ca2+_level_regulator,76
Pituitary_adenylate_cyclase-activating_polypeptide_27,76
CaMPDE_inhibitor,75
Glucagon9,75
Japonicin,75
protein_inhibitor,75
Thymosin_alpha,74
Thymosin_alpha-1,74
pore-forming,73
protein-binding_inhibitor,73
Bombyxin_B-6_B_chain,72
Bombyxin_B-8_B_chain,72
contracting,72
antimalaraial,71
Bombyxin_A-5_B_chain,71
Bombyxin_B-12_B_chain,71
Bombyxin_B-1_B_chain,71
Bombyxin_B-2_B_chain,71
Bombyxin_B-3_B_chain,71
Bombyxin_B-4_B_chain,71
Bombyxin_B-7_B_chain,71
Conotoxin_contulakin,71
Melanin-concentrating_hormone,71
sleeper,71
enzyme_synthesis_peptide,70
apoptosis_regulator,69
Beta-endorphin_1,69
Bombyxin_A-4_B_chain,68
Bombyxin_A-6_B_chain,68
Bombyxin_A-7_B_chain,68
Bombyxin_A-9_B_chain,68
Secapin,68
Beta-endorphin_2,67
Bombyxin_A-1_B_chain,67
Bombyxin_A-3_B_chain,67
sporulation_regulator,66
Bombyxin_A-8_B_chain,65
Bombyxin_B-5_B_chain,65
Bombyxin_B-9_B_chain,65
Bombyxin_E-1_B_chain,65
Cholecystokinin-25,65
Effector_molecule_of_Innate_Immunity,65
Bombyxin_A-2_B_chain,64
enzyme_inhibito,64
Ghrelin_hormone-28,64
potentiator,64
Adipokinetic_hormone_hormone,63
antihypertensive,63
Bombyxin_B-10_B_chain,63
Melanotropin_gamma,62
reacting,62
Bombyxin_D-1_B_chain,61
Ghrelin_hormone-27,61
Prolactin-releasing_peptide_PrRP20,61
Bombyxin_C-1_B_chain,60
Bombyxin_C-2_A_chain,60
opioid_agonist,60
antichaperone,59
Auriculin-B,59
Bombyxin_B-11_A_chain,59
Bombyxin_B-11_B_chain,59
homoeostasis_maintainance,59
Rubellidin,59
Tryptophyllin,59
Bombyxin_C-2_B_chain,58
Cholecystokinin_26,58
Diapause_hormone,58
Electrin,58
Hylin_b,58
Ponericin_L,58
X-CDCP,58
cell_activator,57
Hypotensin,57
leader_peptide,57
Polybine,57
pro-apoptotic,57
Arenicin,56
Atriopeptin,56
Auriculin-A,56
Kassinatuerin,56
DNA-synthesis_stimulating_peptide,55
Melanin-concentrating_hormone-like,55
Bombyxin_B-10_A_chain,54
Bombyxin_B-8_A_chain,54
Lymna_DF_amide,54
Skin_secreted_peptide_1,54
antidiuretic_factor,53
Bombyxin_B-12_A_chain,53
Bombyxin_B-1_A_chain,53
Bombyxin_B-2_A_chain,53
Bombyxin_B-3_A_chain,53
Bombyxin_B-4_A_chain,53
Bombyxin_B-6_A_chain,53
Bombyxin_B-7_A_chain,53
Insulin-1_A_chain,53
Peptide_BmKn,53
receptor_antagonist,53
Bombyxin_B-5_A_chain,52
Bombyxin_B-9_A_chain,52
Epsilon-bag_cell_peptide,52
pheromone_inhibitor,51
Cholecystokinin-22,50
gene_expression_regulator,50
Pedibin,50
Pigment-dispersing_hormone_2,50
Bombyxin_C-1_A_chain,49
hormone_secretion_regulator,49
Bombyxin_A-1_A_chain,48
Bombyxin_A-2_A_chain,48
Bombyxin_A-3_A_chain,48
Bombyxin_A-4_A_chain,48
Bombyxin_A-5_A_chain,48
Bombyxin_A-6_A_chain,48
Bombyxin_A-7_A_chain,48
Bombyxin_A-8_A_chain,48
Bombyxin_A-9_A_chain,48
Bombyxin_E-1_A_chain,48
Pigment-dispersing_hormone_A,48
Fulicin,47
tachyplesin_polyphemusin,47
dipeptidyl_peptidase_III_inhibitor,46
fertilisation-activating_peptide,46
Myoactive_tetradecapeptide,46
P2K,46
transport-stimulating,46
Bombyxin_D-1_A_chain,45
mineralising_tissues_and_body_fluids,45
opioid_antagonist,45
Bioactive_peptide,44
gene_expression_stimulator,44
Pigment-dispersing_hormone_B,44
Pigment-dispersing_hormone_C,43
Tigerinin,43
Cyclolinopeptide,42
genome,42
Katacalcin,42
Melanotropin_alpha,41
Pigment-dispersing_hormone_1,41
gene_expression_inductor,40
pompilidotoxin,40
salivation_stimulator,40
analgesic,38
xin_Tc46_61,38
Hypertrehalosaemic_hormone,37
HypSys_II,37
platelet_agregation_inhibitor,36
Waglerin,36
Cholecystokinin-18,35
Protonectin,35
antiangiogenic,34
antiproliferative,34
Formaecin,34
Melanotropin_beta_2,34
vascular_permeability_enhancing,34
Calfluxin,33
cell_transport_regulator,33
Somatostatin4,33
Gonadoliberin-3,32
Thiopeptide_antibiotic,32
Growth_hormone-releasing_peptide,31
Cholecystokinin_12,30
GLP-intervening,30
hemotaxis_regulator,30
Melanotropin_alpha_1,30
Melanotropin_beta_1,30
sex_pheromone_inhibitor,30
cell_growth_stimulator,29
inflammatory,29
Melanotropin_alpha_2,29
antitrypanosomic,28
Antidiuretic_factor_A,27
Antidiuretic_factor_B,27
anxiolytic_activity,27
Adipokinetic_hormone_hormone_2,26
Cholecystokinin-12,26
Gonadotropin_inhibitory_hormone,26
Neuromedin-C,26
Pneumadin,26
defense_activator,25
HypSys_III,25
ligand_to_human_glioma_cells,25
peptide_inhibitor,25
strepogenin_activity,25
bacteria_growth_stimulator,24
neutrophil_inhibitor,24
xin_Tc50_43,24
enzyme_substrate,23
hemotactic,23
HypSys_I,23
oxidative_stress_regulator,23
paralytic,23
Venom_peptide_vasodilator_peptide,22
digestion_inhibitor,21
neurotrophic_factor,21
platelet_aggregation_inhibitor,21
proliferation_stimulator,21
WWamide,21
Parotid_hormone,20
antiamoebiasis,19
Cyanobactins,19
gene_activator,19
protein_expression_regulator,19
Thymic_factor,19
Alpha-bag_cell_peptide,18
cytoprotective,18
Adipokinetic_hormone_hormone_1,17
Adipokinetic_hormone_hormone_G,17
Cholecystokinin_8,17
Conophan,17
proliferation_regulator,17
Trypsin_modulating_oostatic_factor,17
antiallergen,16
cell_aggragation_inhibitor,16
Cholecystokinin-8,16
Immunomodulant,16
photosynthesis_inhibitor,16
Antho_RIamide,15
Oxytocin,15
Red_pigment-concentrating_hormone,15
Seritocin,15
Alpha-CDCP,14
apoptosis_inductor,14
Cholecystokinin-7,14
Gamma-bag_cell_peptide,14
Gonadoliberin_II,14
immune_system_stimulation,14
radioprotective,14
Adipokinetic_hormone_hormone_3,13
Contraction_inhibiting_peptide,11
embryotoxin,11
bile_acid-binding,10
DNA-synthesis_stimulating,10
Cholecystokinin-5,9
Met-enkephalin,9
sperm_attracting,9
Tetrapandin,9
accelerating,8
anorectic,8
apoptosis_inhibitor,8
fibrinolytic,8
Beta-1-CDCP,7
Beta-2-CDCP,7
Beta-3-CDCP,7
Beta-bag_cell_peptide,7
HMG-CoA_reductase_inhibitor,7
phylotaxis_regulator,7
antitumoral,6
protein_transport_inhibitor,6
cell_growth_inhibitor,5
Hematopoietic_system_regulatory_peptide,5
bacterial_permease_ligand,4
Protein_Kinase_C_inhibitor,4
transporter,3
anorexic,2
antireproductive,2
Proteolytic,2
reductant,2
wide_spectrum_of_activity,1
