Bioactivity,Fullname
Neurotensin_neuromedin_N,
coagulation_regulator,
Moricin,
Penaeidin,
dipeptidyl_peptidase_IV_inhibitor,
Amphiregulin,
celiac_toxin,
antifreeze_protein_type_IV,
Chorionicgonadotropic_hormone-like_protein,
Colipase,
Accessory_gland_specific_peptide_26Aa,
Hydralysin,
chaperone,
Follicle-stimulating_hormone_beta_subunit,
giant-lens,
ProSAAS,
Neuroendocrine_secretory_protein_55,
Thyroid-stimulating_hormone_subunit_beta,
Drosomycin_like,
Chorionic_somatomammotropin_hormone,
Prolactin-3B1,
wound_healing,
Crustacean_hyperglycemic_hormone,
Insulin_growth_factor_like,
Molt-inhibiting_hormone,
Omega-Atracotoxin,
Pleurin,
Protein_C12orf39,
ribonucleoprotein,
Metastasis_suppressor_KiSS,
Coagulogen,
Lebocin,
Orcokinin,
cytolytic,
IL_27_p28_subunit,
Spermicidal,
Tuberoinfundibular_peptide,
ligand_binding,
antithrombotic,
Accessory_gland_protein_62,
Crustin_like_peptide,
Phosphatidylethanolamine_binding_protein,
stimulating,
Prolactin-3D1,
Coleoptericin,
Leucokinin,
lytic,
behavior_regulator,
xin_TxP_I,
Neuroparsin,
enzyme_activator,
Immunomodulator,
Insulin_B_chain,
Microplusin,
Prothoracicotropic_hormone_precursor,
Nematode_specific_peptide_family_group_b,
Growth_hormone_variant,
antitoxin,
Immune_induced_peptides_13,
diuretic_hormone_class_II,
Sodefrin,
aestivation_regulator,
Interleukin_31,
Relaxin_B_chain,
opioid,
Salivary_anti_thrombin_anophelin,
antifreeze_glycoprotein_AFGP,
Ecdysis_triggering_hormone,
Hemiptericin,
Antiprotozoal,
Putative_peptide2,
Termicin,
antioncogenic,
Neurotoxin_magi,
antibiotic,
Hym_preprohormone,
Myomodulin,
Small_cardioactive_peptide,
membrane_-active_peptide,
Glucagon,
Achatin,
Osteocrin,
vespryn,
Apelin,
VEGF_co_regulated_chemokine_1,
cGMP_activator,
Prolactin-8A7,
Growth_hormone_2,
Cytin_A_chain,
Prolactin-8A5,
Gambicin,
Glucagon-like_peptide_2,
Cysteine_rich_peptide,
Prolactin-8A4,
trunk_protein,
Nematode_specific_peptide_family_group_c,
antiangiogenesis,
Insulin_A_chain,
Chorionic_somatomammotropin_hormone_2,
Chorionic_somatomammotropin_hormone_1,
Relaxin_A_chain,
sperm_activator,
antidote,
latarcin,
inhibitor,
cAMP_generating,
ProlactinC4,
Prolactin-3D4,
ProlactinC2,
ProlactinC3,
SPTR_prohormone,
CaMKII_Inhibitor,
Fibrosin,
Beta_bungarotoxin_B_chain_precursor,
Chorionic_somatomammotropin_hormone-like_1,
Mytilin,
Ergtoxin,
binding,
Glicentin,
feeding_circuit-activating,
mitogen,
IL_6_subfamily_like_cytokine_M17,
Accessory_gland_specific_peptide_70A,
VD1_RPD2_alpha_peptide,
Mastoparan,
protein-binding,
Crustacean_hyperglycemic_hormone_B,
regulating,
Corticotropin,
Delta_atracotoxin,
Cholecystokinin-58,
sea_anemone_BDS_toxin,
Pyrrhocoricin,
aggregation_regulator,
sea_anemone_potassium_channel_inhibitory_toxin,
Growth_hormone-releasing_factor,
sporulation_participant,
Channel_inhibitors,
enzyme,
antiyeast,
biosynthesis_activator,
Glycoprotein_hormone_alpha-2,
Buccalin,
Accessory_gland_protein_26Ab,
Calcitonin,
Ovarian_ecdysteroidogenic_hormone,
Proctolin,
xin_protein_KITx,
Probable_molt-inhibiting_hormone,
Potassium_channel_toxin_alpha_KTx,
grammistin,
Big_gastrin,
Gastrin,
Glucagon-like_peptide,
huwentoxin_2,
Gallerimycin,
Insecticidal_toxin_DTX,
Somatoliberin,
Attractin,
Diuretic_hormone,
Putative_peptide3,
Gastrin-releasing_peptide,
Glycoprotein_hormones_alpha_chain_1,
ion_transport_peptide,
bitter_taste,
Prothymosin_alpha,
cell_aggregation_regulator,
Glycoprotein_hormones_alpha_chain_2,
Dermcidin,
Crustacean_hyperglycemic_hormone_2,
Ceratotoxin,
Aptotoxin_1_4_6_9_Paralytic_peptide,
Crustacean_hyperglycemic_hormone_A,
Neurophysin_1,
Crustacean_hyperglycemic_hormone_3,
Glucagon-like_peptide_1,
allergic,
Light_yellow_cell_peptide,
Androgenic_gland_hormone,
structural_role_in_biosynthesis,
Acrorhagin,
Glycoprotein_hormone_beta-5,
Gonadotropin_subunit_beta-1,
Tachystatin,
Gonadotropin_subunit_beta-2,
photosynthesis_participant,
Pilosulin,
Male_accessory_gland_protein,
Gonadotropin_beta-I_chain,
GTH-I-beta,
Eyestalk_peptide,
Follicular_dendritic_cell_secreted_peptide,
Parabutoporin,
Neuroactive_polyprotein_R15,
conotoxin_P,
biosynthesis_inhibitor,
Periviscerokinin,
Beta-endorphin,
Crustacean_hyperglycemic_hormone_5,
antiamnestic,
Alpha_D_conotoxin,
Anionic_peptide_clone_precursor,
turritoxin,
Gonadotropin_beta-II_chain,
Ornatin,
Prothoracicotropic_hormone,
Seminal_vesicle_specific_peptide,
Cholecystokinin-70,
ligand_binding_inhibitor,
Hymenoptaecin,
CART_peptide,
Megourin,
Oxytoxin,
AlCRP,
ion_transport_inhibitor,
Crustacean_hyperglycemic_hormone_1,
alpha-amylase_inhibitor,
diuretic,
Diuretic_hormone_2,
Diuretic_hormone_1,
Secretin,
heparin_binding,
Sodium_channel_blocker,
Halocidin_subunit,
Mandibular_organ-inhibiting_hormone_1,
receptor-stimulating,
Mandibular_organ-inhibiting_hormone_2,
Venom_peptide,
Corticoliberin,
Vitellogenesis-inhibiting_hormone,
Ponericin,
Cholecystokinin-33,
enzyme_degradation_regulator,
protein_translation_inhibitor,
diapausin,
Crustacean_hyperglycemic_hormones_7,
Cholecystokinin_69,
Xenoxin,
Crustacean_hyperglycemic_hormone_4,
Androgenic_gland_hormone_B_chain,
chemotaxis_regulator,
Statherin,
Melittin,
Thymosin_beta-10,
Crustacean_hyperglycemic_hormone_isoform_1,
Melanotropin_beta,
Thymosin_beta-4,
Crustacean_hyperglycemic_hormone_6,
Gonad-inhibiting_hormone,
hemopoietic,
alpha-glucosidase_inhibitor,
Drosocin,
Mandibular_organ-inhibiting_hormone,
oxyopinin_2,
synthesis_stimulator,
Cholecystokinin-58_desnonopeptide,
Molt-inhibiting_hormone-like,
aptotoxin,
conotoxin_J,
Styelin,
Vespid_chemotactic_peptide,
LiTx_toxin,
Lytic_peptide,
Myotoxins,
Neurotoxin_B,
pathogenic,
Pancreatic_icosapeptide,
Conotoxin_Gla,
Oxyntomodulin,
xin_AETX,
anti_inflammatory,
competence_factor,
sporulation_factor,
Scorpion_Venom_peptide_toxin,
sex_regulator,
Abaecin,
Cholecystokinin-39,
defense_gene_activator,
Testis_ecdysiotropin_peptide,
cell_aggregation_inhibitor,
Obestatin,
Conantokin,
Egg-laying_hormone,
Trypanocidal,
Myticin,
Prolactin_release-inhibiting_factor_1,
Alpha_S_conotoxin,
bind_various_heavy_metals,
Thymosin_beta-12,
Ectatomin,
Peptide_hormone,
Peptide_YY-like,
Ghrelin_hormone,
stimulator_of_hormone_synthesis,
P6K,
Pardaxin,
Paralytic_insecticial_toxin,
protein_synthesis_inhibitor,
Host_defense_peptides,
Bombolitin,
Growth_hormone-releasing_factor_1-46,
Clavanin,
neuroprotective,
Accessory_gland_peptide_Acp33A,
Conotoxin_flf14,
protein_dimerization_activator,
Alpha_A_conotoxin,
Gonadoliberin,
Histatin,
transcription_regulator,
Diuretic_hormone_class_1,
precipitation_inhibitor,
Histidine-rich_amphipathic_cationic_peptides,
Pituitary_adenylate_cyclase-activating_polypeptide,
copper_II-chelating,
Pituitary_adenylate_cyclase-activating_polypeptide_38,
receptor_ligand,
janus_atracotoxin,
DNA-repair,
Lycotoxin,
Mlpt,
feeding_behavior,
receptor_inhibitor,
Mast_cell_degranulating_peptide,
Acanthoscurrin,
cell_agglutinator,
Gamma-delta-bag_cell_peptide,
Dynastin,
scorpion_TsTXK?_molecular_subfamily,
allergen,
Thymosin_beta-a,
ribosome-inactivating,
heavy-metal-binding,
hypotensive,
migration-inducing,
Ovulation_hormone,
Androgenic_gland_hormone_A_chain,
Gastric_inhibitory_polypeptide,
feeding_circuit_activator,
Glucagon-like_peptide_1A,
induction_factor,
Insulin-2_B_chain,
Pseudin,
hemodynamic,
Thymosin_beta-11,
vasoconstrictor,
Cell_penetrating_peptide,
Delta-bag_cell_peptide,
Gamma-melanotropin-like_segment,
immunostimulating,
chromatin_assembly_or_disassembly,
competence_peptide,
Accessory_gland_protein_98,
Egg-laying-like_hormone,
transcription_factor,
sea_anemone_short_toxin,
Diapause_hormone_homolog,
enzyme_synthesis_activator,
salt_precipitation_inhibitor,
ecdysiotropic,
Prolactin-releasing_peptide_PrRP31,
Thymosin_beta-b,
antiinsecticidal,
activator_of_gene_expression,
apoptosis,
Thymosin_beta-8,
angiogenic,
Hyposin,
Pigment-dispersing_hormone,
Diuretic_hormone_class_2,
Phylloseptin,
Tamulustoxin,
channel_inhibitor,
Cholecystokinin-40,
gene_expression_activator,
Glucagon-like_peptide_1-I,
Glucagon-like_peptide_1B,
Host_defense_insecticidal_agent,
Cholecystokinin_36,
Glucagon-like_peptide_1-1,
Potassium_channel_toxin_kappa_KTx,
siloca-precipitating,
Diuretic_hormone_class-II,
Relaxin-3_B_chain,
Salmocidin,
Insulin-2_A_chain,
Glucagon-like_peptide_1C,
Glucagon-like_peptide_2-II,
Relaxin-3_A_chain,
apidaecin,
Glucagon-like_peptide_2-I,
Ca2+_level_regulator,
Pituitary_adenylate_cyclase-activating_polypeptide_27,
CaMPDE_inhibitor,
Glucagon9,
Japonicin,
protein_inhibitor,
Thymosin_alpha,
Thymosin_alpha-1,
pore-forming,
protein-binding_inhibitor,
Bombyxin_B-6_B_chain,
Bombyxin_B-8_B_chain,
contracting,
antimalaraial,
Bombyxin_A-5_B_chain,
Bombyxin_B-12_B_chain,
Bombyxin_B-1_B_chain,
Bombyxin_B-2_B_chain,
Bombyxin_B-3_B_chain,
Bombyxin_B-4_B_chain,
Bombyxin_B-7_B_chain,
Conotoxin_contulakin,
Melanin-concentrating_hormone,
sleeper,
enzyme_synthesis_peptide,
apoptosis_regulator,
Beta-endorphin_1,
Bombyxin_A-4_B_chain,
Bombyxin_A-6_B_chain,
Bombyxin_A-7_B_chain,
Bombyxin_A-9_B_chain,
Secapin,
Beta-endorphin_2,
Bombyxin_A-1_B_chain,
Bombyxin_A-3_B_chain,
sporulation_regulator,
Bombyxin_A-8_B_chain,
Bombyxin_B-5_B_chain,
Bombyxin_B-9_B_chain,
Bombyxin_E-1_B_chain,
Cholecystokinin-25,
Effector_molecule_of_Innate_Immunity,
Bombyxin_A-2_B_chain,
enzyme_inhibito,
Ghrelin_hormone-28,
potentiator,
Adipokinetic_hormone_hormone,
antihypertensive,
Bombyxin_B-10_B_chain,
Melanotropin_gamma,
reacting,
Bombyxin_D-1_B_chain,
Ghrelin_hormone-27,
Prolactin-releasing_peptide_PrRP20,
Bombyxin_C-1_B_chain,
Bombyxin_C-2_A_chain,
opioid_agonist,
antichaperone,
Auriculin-B,
Bombyxin_B-11_A_chain,
Bombyxin_B-11_B_chain,
homoeostasis_maintainance,
Rubellidin,
Tryptophyllin,
Bombyxin_C-2_B_chain,
Cholecystokinin_26,
Diapause_hormone,
Electrin,
Hylin_b,
Ponericin_L,
X-CDCP,
cell_activator,
Hypotensin,
leader_peptide,
Polybine,
pro-apoptotic,
Arenicin,
Atriopeptin,
Auriculin-A,
Kassinatuerin,
DNA-synthesis_stimulating_peptide,
Melanin-concentrating_hormone-like,
Bombyxin_B-10_A_chain,
Bombyxin_B-8_A_chain,
Lymna_DF_amide,
Skin_secreted_peptide_1,
antidiuretic_factor,
Bombyxin_B-12_A_chain,
Bombyxin_B-1_A_chain,
Bombyxin_B-2_A_chain,
Bombyxin_B-3_A_chain,
Bombyxin_B-4_A_chain,
Bombyxin_B-6_A_chain,
Bombyxin_B-7_A_chain,
Insulin-1_A_chain,
Peptide_BmKn,
receptor_antagonist,
Bombyxin_B-5_A_chain,
Bombyxin_B-9_A_chain,
Epsilon-bag_cell_peptide,
pheromone_inhibitor,
Cholecystokinin-22,
gene_expression_regulator,
Pedibin,
Pigment-dispersing_hormone_2,
Bombyxin_C-1_A_chain,
hormone_secretion_regulator,
Bombyxin_A-1_A_chain,
Bombyxin_A-2_A_chain,
Bombyxin_A-3_A_chain,
Bombyxin_A-4_A_chain,
Bombyxin_A-5_A_chain,
Bombyxin_A-6_A_chain,
Bombyxin_A-7_A_chain,
Bombyxin_A-8_A_chain,
Bombyxin_A-9_A_chain,
Bombyxin_E-1_A_chain,
Pigment-dispersing_hormone_A,
Fulicin,
tachyplesin_polyphemusin,
dipeptidyl_peptidase_III_inhibitor,
fertilisation-activating_peptide,
Myoactive_tetradecapeptide,
P2K,
transport-stimulating,
Bombyxin_D-1_A_chain,
mineralising_tissues_and_body_fluids,
opioid_antagonist,
Bioactive_peptide,
gene_expression_stimulator,
Pigment-dispersing_hormone_B,
Pigment-dispersing_hormone_C,
Tigerinin,
Cyclolinopeptide,
genome,
Katacalcin,
Melanotropin_alpha,
Pigment-dispersing_hormone_1,
gene_expression_inductor,
pompilidotoxin,
salivation_stimulator,
analgesic,
xin_Tc46_61,
Hypertrehalosaemic_hormone,
HypSys_II,
platelet_agregation_inhibitor,
Waglerin,
Cholecystokinin-18,
Protonectin,
antiangiogenic,
antiproliferative,
Formaecin,
Melanotropin_beta_2,
vascular_permeability_enhancing,
Calfluxin,
cell_transport_regulator,
Somatostatin4,
Gonadoliberin-3,
Thiopeptide_antibiotic,
Growth_hormone-releasing_peptide,
Cholecystokinin_12,
GLP-intervening,
hemotaxis_regulator,
Melanotropin_alpha_1,
Melanotropin_beta_1,
sex_pheromone_inhibitor,
cell_growth_stimulator,
inflammatory,
Melanotropin_alpha_2,
antitrypanosomic,
Antidiuretic_factor_A,
Antidiuretic_factor_B,
anxiolytic_activity,
Adipokinetic_hormone_hormone_2,
Cholecystokinin-12,
Gonadotropin_inhibitory_hormone,
Neuromedin-C,
Pneumadin,
defense_activator,
HypSys_III,
ligand_to_human_glioma_cells,
peptide_inhibitor,
strepogenin_activity,
bacteria_growth_stimulator,
neutrophil_inhibitor,
xin_Tc50_43,
enzyme_substrate,
hemotactic,
HypSys_I,
oxidative_stress_regulator,
paralytic,
Venom_peptide_vasodilator_peptide,
digestion_inhibitor,
neurotrophic_factor,
platelet_aggregation_inhibitor,
proliferation_stimulator,
WWamide,
Parotid_hormone,
antiamoebiasis,
Cyanobactins,
gene_activator,
protein_expression_regulator,
Thymic_factor,
Alpha-bag_cell_peptide,
cytoprotective,
Adipokinetic_hormone_hormone_1,
Adipokinetic_hormone_hormone_G,
Cholecystokinin_8,
Conophan,
proliferation_regulator,
Trypsin_modulating_oostatic_factor,
antiallergen,
cell_aggragation_inhibitor,
Cholecystokinin-8,
Immunomodulant,
photosynthesis_inhibitor,
Antho_RIamide,
Oxytocin,
Red_pigment-concentrating_hormone,
Seritocin,
Alpha-CDCP,
apoptosis_inductor,
Cholecystokinin-7,
Gamma-bag_cell_peptide,
Gonadoliberin_II,
immune_system_stimulation,
radioprotective,
Adipokinetic_hormone_hormone_3,
Contraction_inhibiting_peptide,
embryotoxin,
bile_acid-binding,
DNA-synthesis_stimulating,
Cholecystokinin-5,
Met-enkephalin,
sperm_attracting,
Tetrapandin,
accelerating,
anorectic,
apoptosis_inhibitor,
fibrinolytic,
Beta-1-CDCP,
Beta-2-CDCP,
Beta-3-CDCP,
Beta-bag_cell_peptide,
HMG-CoA_reductase_inhibitor,
phylotaxis_regulator,
antitumoral,
protein_transport_inhibitor,
cell_growth_inhibitor,
Hematopoietic_system_regulatory_peptide,
bacterial_permease_ligand,
Protein_Kinase_C_inhibitor,
transporter,
anorexic,
antireproductive,
Proteolytic,
reductant,
wide_spectrum_of_activity,
