id,Bioactivity
660,Bombyxin_A-4_A_chain
577,Bombyxin_A-4_B_chain
661,Bombyxin_A-5_A_chain
564,Bombyxin_A-5_B_chain
662,Bombyxin_A-6_A_chain
578,Bombyxin_A-6_B_chain
663,Bombyxin_A-7_A_chain
579,Bombyxin_A-7_B_chain
664,Bombyxin_A-8_A_chain
586,Bombyxin_A-8_B_chain
665,Bombyxin_A-9_A_chain
580,Bombyxin_A-9_B_chain
638,Bombyxin_B-1_A_chain
566,Bombyxin_B-1_B_chain
632,Bombyxin_B-10_A_chain
598,Bombyxin_B-10_B_chain
609,Bombyxin_B-11_A_chain
610,Bombyxin_B-11_B_chain
637,Bombyxin_B-12_A_chain
565,Bombyxin_B-12_B_chain
639,Bombyxin_B-2_A_chain
567,Bombyxin_B-2_B_chain
640,Bombyxin_B-3_A_chain
568,Bombyxin_B-3_B_chain
641,Bombyxin_B-4_A_chain
569,Bombyxin_B-4_B_chain
647,Bombyxin_B-5_A_chain
587,Bombyxin_B-5_B_chain
642,Bombyxin_B-6_A_chain
560,Bombyxin_B-6_B_chain
643,Bombyxin_B-7_A_chain
570,Bombyxin_B-7_B_chain
633,Bombyxin_B-8_A_chain
561,Bombyxin_B-8_B_chain
648,Bombyxin_B-9_A_chain
588,Bombyxin_B-9_B_chain
655,Bombyxin_C-1_A_chain
604,Bombyxin_C-1_B_chain
605,Bombyxin_C-2_A_chain
614,Bombyxin_C-2_B_chain
675,Bombyxin_D-1_A_chain
601,Bombyxin_D-1_B_chain
666,Bombyxin_E-1_A_chain
589,Bombyxin_E-1_B_chain
42,Bradykinin
301,Buccalin
104,Bursicon
550,Ca2+_level_regulator
303,Calcitonin
52,Calcitonin_CGRP_IAPP
704,Calfluxin
270,CaMKII_Inhibitor
264,cAMP_generating
552,CaMPDE_inhibitor
111,Cardioactive_peptide
369,CART_peptide
41,Cathelicidins
61,Cecropin
165,celiac_toxin
621,cell_activator
484,cell_agglutinator
762,cell_aggragation_inhibitor
438,cell_aggregation_inhibitor
325,cell_aggregation_regulator
798,cell_growth_inhibitor
716,cell_growth_stimulator
505,Cell_penetrating_peptide
705,cell_transport_regulator
329,Ceratotoxin
92,Cerebellin
244,cGMP_activator
531,channel_inhibitor
296,Channel_inhibitors
171,chaperone
37,Chemotactic
399,chemotaxis_regulator
135,Cholecystokinin
710,Cholecystokinin_12
615,Cholecystokinin_26
537,Cholecystokinin_36
395,Cholecystokinin_69
757,Cholecystokinin_8
724,Cholecystokinin-12
697,Cholecystokinin-18
651,Cholecystokinin-22
590,Cholecystokinin-25
390,Cholecystokinin-33
435,Cholecystokinin-39
532,Cholecystokinin-40
782,Cholecystokinin-5
289,Cholecystokinin-58
414,Cholecystokinin-58_desnonopeptide
772,Cholecystokinin-7
366,Cholecystokinin-70
763,Cholecystokinin-8
178,Chorionic_somatomammotropin_hormone
258,Chorionic_somatomammotropin_hormone_1
257,Chorionic_somatomammotropin_hormone_2
273,Chorionic_somatomammotropin_hormone-like_1
167,Chorionicgonadotropic_hormone-like_protein
509,chromatin_assembly_or_disassembly
130,Ciliary_neurotrophic_factor
460,Clavanin
160,coagulation_regulator
189,Coagulogen
99,Cocaine_and_amphetamine_regulated_transcript_protein
203,Coleoptericin
168,Colipase
430,competence_factor
510,competence_peptide
440,Conantokin
758,Conophan
12,Conotoxin
571,Conotoxin_contulakin
463,Conotoxin_flf14
426,Conotoxin_Gla
417,conotoxin_J
353,conotoxin_P
562,contracting
778,Contraction_inhibiting_peptide
473,copper_II-chelating
132,Corazonin
387,Corticoliberin
287,Corticotropin
36,Corticotropin_releasing_factor
181,Crustacean_hyperglycemic_hormone
374,Crustacean_hyperglycemic_hormone_1
328,Crustacean_hyperglycemic_hormone_2
333,Crustacean_hyperglycemic_hormone_3
397,Crustacean_hyperglycemic_hormone_4
357,Crustacean_hyperglycemic_hormone_5
406,Crustacean_hyperglycemic_hormone_6
331,Crustacean_hyperglycemic_hormone_A
285,Crustacean_hyperglycemic_hormone_B
403,Crustacean_hyperglycemic_hormone_isoform_1
394,Crustacean_hyperglycemic_hormones_7
199,Crustin_like_peptide
749,Cyanobactins
683,Cyclolinopeptide
251,Cysteine_rich_peptide
247,Cytin_A_chain
192,cytolytic
754,cytoprotective
136,cytotoxin
728,defense_activator
436,defense_gene_activator
288,Delta_atracotoxin
506,Delta-bag_cell_peptide
327,Dermcidin
125,development_regulator
616,Diapause_hormone
515,Diapause_hormone_homolog
393,diapausin
742,digestion_inhibitor
670,dipeptidyl_peptidase_III_inhibitor
163,dipeptidyl_peptidase_IV_inhibitor
376,diuretic
318,Diuretic_hormone
378,Diuretic_hormone_1
377,Diuretic_hormone_2
469,Diuretic_hormone_class_1
528,Diuretic_hormone_class_2
218,diuretic_hormone_class_II
541,Diuretic_hormone_class-II
107,DNA-binding
477,DNA-repair
781,DNA-synthesis_stimulating
630,DNA-synthesis_stimulating_peptide
410,Drosocin
177,Drosomycin_like
486,Dynastin
518,ecdysiotropic
226,Ecdysis_triggering_hormone
133,Eclosion_hormone
448,Ectatomin
591,Effector_molecule_of_Innate_Immunity
140,Egg_laying_hormone
441,Egg-laying_hormone
512,Egg-laying-like_hormone
617,Electrin
779,embryotoxin
69,Endothelin
297,enzyme
209,enzyme_activator
391,enzyme_degradation_regulator
593,enzyme_inhibito
30,enzyme_inhibitor
736,enzyme_substrate
516,enzyme_synthesis_activator
574,enzyme_synthesis_peptide
649,Epsilon-bag_cell_peptide
275,Ergtoxin
49,Erythropoietin_thrombopoeitin
349,Eyestalk_peptide
75,FAM3
480,feeding_behavior
497,feeding_circuit_activator
278,feeding_circuit-activating
671,fertilisation-activating_peptide
5,Fibrinogen_alpha_1_chain_precursor
789,fibrinolytic
271,Fibrosin
172,Follicle-stimulating_hormone_beta_subunit
350,Follicular_dendritic_cell_secreted_peptide
701,Formaecin
668,Fulicin
114,Galanin
314,Gallerimycin
249,Gambicin
773,Gamma-bag_cell_peptide
485,Gamma-delta-bag_cell_peptide
507,Gamma-melanotropin-like_segment
496,Gastric_inhibitory_polypeptide
311,Gastrin
32,Gastrin_cholecystokinin
320,Gastrin-releasing_peptide
151,GBP_PSP1_paralytic
750,gene_activator
533,gene_expression_activator
688,gene_expression_inductor
652,gene_expression_regulator
679,gene_expression_stimulator
684,genome
155,GGNG_myoactive_peptide
451,Ghrelin_hormone
63,Ghrelin_hormone_and_Motilin_related_peptide
602,Ghrelin_hormone-27
594,Ghrelin_hormone-28
173,giant-lens
277,Glicentin
117,Gloverin
711,GLP-intervening
238,Glucagon
19,Glucagon_GIP_secretin_VIP
553,Glucagon9
312,Glucagon-like_peptide
334,Glucagon-like_peptide_1
538,Glucagon-like_peptide_1-1
498,Glucagon-like_peptide_1A
535,Glucagon-like_peptide_1B
545,Glucagon-like_peptide_1C
534,Glucagon-like_peptide_1-I
250,Glucagon-like_peptide_2
549,Glucagon-like_peptide_2-I
546,Glucagon-like_peptide_2-II
300,Glycoprotein_hormone_alpha-2
340,Glycoprotein_hormone_beta-5
45,Glycoprotein_hormones_alpha_chain
321,Glycoprotein_hormones_alpha_chain_1
326,Glycoprotein_hormones_alpha_chain_2
13,Glycoprotein_hormones_beta_chain
97,GMF_beta
407,Gonad-inhibiting_hormone
466,Gonadoliberin
774,Gonadoliberin_II
707,Gonadoliberin-3
347,Gonadotropin_beta-I_chain
362,Gonadotropin_beta-II_chain
725,Gonadotropin_inhibitory_hormone
27,Gonadotropin_releasing_hormones
341,Gonadotropin_subunit_beta-1
343,Gonadotropin_subunit_beta-2
309,grammistin
25,Granins
58,Granulins
67,Granulocyte_macrophage_colony_stimulating_factor
148,Granulysin_NK_lysin_like
33,Gremlin
128,Growth_factor_ARC
153,Growth_hormone
246,Growth_hormone_2
215,Growth_hormone_variant
294,Growth_hormone-releasing_factor
459,Growth_hormone-releasing_factor_1-46
709,Growth_hormone-releasing_peptide
348,GTH-I-beta
89,Guanylin
382,Halocidin_subunit
11,HBGF_FGF
491,heavy-metal-binding
799,Hematopoietic_system_regulatory_peptide
227,Hemiptericin
502,hemodynamic
17,hemolytic
408,hemopoietic
737,hemotactic
712,hemotaxis_regulator
380,heparin_binding
24,Heparin_binding_epidermal_growth_factor
31,Hepatoma_derived_growth_factor
80,Hepcidin
467,Histatin
471,Histidine-rich_amphipathic_cationic_peptides
794,HMG-CoA_reductase_inhibitor
611,homoeostasis_maintainance
7,hormone
656,hormone_secretion_regulator
536,Host_defense_insecticidal_agent
457,Host_defense_peptides
313,huwentoxin_2
170,Hydralysin
618,Hylin_b
234,Hym_preprohormone
368,Hymenoptaecin
693,Hypertrehalosaemic_hormone
526,Hyposin
622,Hypotensin
492,hypotensive
738,HypSys_I
694,HypSys_II
729,HypSys_III
193,IL_27_p28_subunit
280,IL_6_subfamily_like_cytokine_M17
142,Immune_induced_peptide_precursor
217,Immune_induced_peptides_13
775,immune_system_stimulation
764,Immunomodulant
210,Immunomodulator
83,immunoregulator
508,immunostimulating
499,induction_factor
717,inflammatory
263,inhibitor
100,Insecticidal
315,Insecticidal_toxin_DTX
6,Insulin
256,Insulin_A_chain
211,Insulin_B_chain
182,Insulin_growth_factor_like
644,Insulin-1_A_chain
544,Insulin-2_A_chain
500,Insulin-2_B_chain
15,Interleukin_1
23,Interleukin_10
74,Interleukin_11
66,Interleukin_12_alpha
47,Interleukin_15
149,Interleukin_16
35,Interleukin_17
59,Interleukin_2
106,Interleukin_21
127,Interleukin_28_29
93,Interleukin_3
221,Interleukin_31
38,Interleukin_4_13
115,Interleukin_5
28,Interleukin_6
73,Interleukin_7_9
373,ion_transport_inhibitor
322,ion_transport_peptide
476,janus_atracotoxin
554,Japonicin
78,Jellyfish_toxin
629,Kassinatuerin
685,Katacalcin
84,L71
262,latarcin
34,latrotoxin
623,leader_peptide
190,Lebocin
62,Leptin
204,Leucokinin
81,LIF_OSM
196,ligand_binding
367,ligand_binding_inhibitor
730,ligand_to_human_glioma_cells
336,Light_yellow_cell_peptide
129,Lipotropin_beta
146,Lipotropin_gamma
420,LiTx_toxin
158,Long_chain_potassium_channel_inhibitor_scorpion_toxin
119,Luteinizing_hormone_subunit_beta
478,Lycotoxin
634,Lymna_DF_amide
205,lytic
421,Lytic_peptide
346,Male_accessory_gland_protein
411,Mandibular_organ-inhibiting_hormone
383,Mandibular_organ-inhibiting_hormone_1
385,Mandibular_organ-inhibiting_hormone_2
482,Mast_cell_degranulating_peptide
283,Mastoparan
370,Megourin
572,Melanin-concentrating_hormone
631,Melanin-concentrating_hormone-like
686,Melanotropin_alpha
713,Melanotropin_alpha_1
718,Melanotropin_alpha_2
404,Melanotropin_beta
714,Melanotropin_beta_1
702,Melanotropin_beta_2
599,Melanotropin_gamma
401,Melittin
237,membrane_-active_peptide
188,Metastasis_suppressor_KiSS
783,Met-enkephalin
212,Microplusin
493,migration-inducing
676,mineralising_tissues_and_body_fluids
279,mitogen
479,Mlpt
183,Molt-inhibiting_hormone
415,Molt-inhibiting_hormone-like
161,Moricin
90,Mu_agatoxin_and_spider_toxin_SFI
91,Muellerian-inhibiting_factor
672,Myoactive_tetradecapeptide
235,Myomodulin
422,Myotoxins
443,Myticin
274,Mytilin
116,Nasal_embryonic_luteinizing_hormone_releasing_hormone_factor
131,Nasal_embryonic_luteinizing_hormone-releasing_hormone_factor
16,Natriuretic_peptides
214,Nematode_specific_peptide_family_group_b
254,Nematode_specific_peptide_family_group_c
26,Nerve_growth_factor
39,Neuregulin
65,Neurexophilin
352,Neuroactive_polyprotein_R15
152,Neuroendocrine_protein_7B2
175,Neuroendocrine_secretory_protein_55
29,Neurohypophysial_hormones
118,Neuromedin_U_S
726,Neuromedin-C
208,Neuroparsin
332,Neurophysin_1
461,neuroprotective
121,Neurosecretory_protein_VGF
159,Neurotensin_neuromedin_N
423,Neurotoxin_B
232,Neurotoxin_magi
743,neurotrophic_factor
734,neutrophil_inhibitor
82,Nitrophorin
2,NP
439,Obestatin
122,Omega-agatoxin
184,Omega-Atracotoxin
223,opioid
606,opioid_agonist
677,opioid_antagonist
191,Orcokinin
143,Orexin
363,Ornatin
240,Osteocrin
79,Osteopontin
304,Ovarian_ecdysteroidogenic_hormone
494,Ovulation_hormone
739,oxidative_stress_regulator
427,Oxyntomodulin
412,oxyopinin_2
767,Oxytocin
371,Oxytoxin
673,P2K
453,P6K
87,Pacifastin_related_peptide
44,Pancreatic_hormone
425,Pancreatic_icosapeptide
351,Parabutoporin
740,paralytic
455,Paralytic_insecticial_toxin
51,Parathyroid_hormone
454,Pardaxin
747,Parotid_hormone
424,pathogenic
653,Pedibin
162,Penaeidin
645,Peptide_BmKn
449,Peptide_hormone
731,peptide_inhibitor
156,peptide_potentiator
147,peptide_precursor
450,Peptide_YY-like
355,Periviscerokinin
96,pheromone
650,pheromone_inhibitor
200,Phosphatidylethanolamine_binding_protein
765,photosynthesis_inhibitor
344,photosynthesis_participant
529,Phylloseptin
795,phylotaxis_regulator
101,Pigment_dispersing_hormone
527,Pigment-dispersing_hormone
687,Pigment-dispersing_hormone_1
654,Pigment-dispersing_hormone_2
667,Pigment-dispersing_hormone_A
680,Pigment-dispersing_hormone_B
681,Pigment-dispersing_hormone_C
345,Pilosulin
472,Pituitary_adenylate_cyclase-activating_polypeptide
551,Pituitary_adenylate_cyclase-activating_polypeptide_27
474,Pituitary_adenylate_cyclase-activating_polypeptide_38
744,platelet_aggregation_inhibitor
695,platelet_agregation_inhibitor
14,Platelet_derived_growth_factor
185,Pleurin
108,pleurocidin
727,Pneumadin
624,Polybine
689,pompilidotoxin
389,Ponericin
619,Ponericin_L
558,pore-forming
308,Potassium_channel_toxin_alpha_KTx
539,Potassium_channel_toxin_kappa_KTx
595,potentiator
470,precipitation_inhibitor
98,Pro_MCH
625,pro-apoptotic
307,Probable_molt-inhibiting_hormone
305,Proctolin
109,Prokineticin
57,Prolactin
444,Prolactin_release-inhibiting_factor_1
179,Prolactin-3B1
202,Prolactin-3D1
266,Prolactin-3D4
252,Prolactin-8A4
248,Prolactin-8A5
245,Prolactin-8A7
267,ProlactinC2
268,ProlactinC3
265,ProlactinC4
603,Prolactin-releasing_peptide_PrRP20
519,Prolactin-releasing_peptide_PrRP31
759,proliferation_regulator
745,proliferation_stimulator
174,ProSAAS
186,Protein_C12orf39
464,protein_dimerization_activator
751,protein_expression_regulator
555,protein_inhibitor
801,Protein_Kinase_C_inhibitor
456,protein_synthesis_inhibitor
392,protein_translation_inhibitor
797,protein_transport_inhibitor
284,protein-binding
559,protein-binding_inhibitor
805,Proteolytic
364,Prothoracicotropic_hormone
213,Prothoracicotropic_hormone_precursor
324,Prothymosin_alpha
698,Protonectin
501,Pseudin
60,PTN_MK_heparin_binding
20,Putative_peptide
229,Putative_peptide2
319,Putative_peptide3
53,Pyrokinins
291,Pyrrhocoricin
776,radioprotective
144,RALF
600,reacting
76,Receptivity_factor
646,receptor_antagonist
481,receptor_inhibitor
475,receptor_ligand
384,receptor-stimulating
768,Red_pigment-concentrating_hormone
806,reductant
286,regulating
259,Relaxin_A_chain
222,Relaxin_B_chain
547,Relaxin-3_A_chain
542,Relaxin-3_B_chain
86,Resistin
187,ribonucleoprotein
490,ribosome-inactivating
612,Rubellidin
224,Salivary_anti_thrombin_anophelin
126,Salivary_glue_protein
690,salivation_stimulator
543,Salmocidin
517,salt_precipitation_inhibitor
21,Scorpion_toxin
487,scorpion_TsTXK?_molecular_subfamily
432,Scorpion_Venom_peptide_toxin
290,sea_anemone_BDS_toxin
293,sea_anemone_potassium_channel_inhibitory_toxin
514,sea_anemone_short_toxin
581,Secapin
379,Secretin
365,Seminal_vesicle_specific_peptide
769,Seritocin
715,sex_pheromone_inhibitor
433,sex_regulator
540,siloca-precipitating
635,Skin_secreted_peptide_1
573,sleeper
236,Small_cardioactive_peptide
4,Small_cytokines
22,Snake_toxins
68,SNTX_VTX_toxin
219,Sodefrin
381,Sodium_channel_blocker
316,Somatoliberin
55,Somatostatin
706,Somatostatin4
8,Somatotropin
110,Spatzle
260,sperm_activator
784,sperm_attracting
194,Spermicidal
150,Spider_toxin
431,sporulation_factor
295,sporulation_participant
585,sporulation_regulator
269,SPTR_prohormone
64,Stanniocalcin
400,Statherin
201,stimulating
145,stimulating_different_activities
452,stimulator_of_hormone_synthesis
732,strepogenin_activity
134,stress_response
137,Stromal_cell_derived_growth_factor
338,structural_role_in_biosynthesis
418,Styelin
123,Submaxillary_gland_androgen_regulated_protein
413,synthesis_stimulator
669,tachyplesin_polyphemusin
342,Tachystatin
530,Tamulustoxin
230,Termicin
437,Testis_ecdysiotropin_peptide
785,Tetrapandin
3,TGF_beta
708,Thiopeptide_antibiotic
752,Thymic_factor
556,Thymosin_alpha
557,Thymosin_alpha-1
70,Thymosin_beta
402,Thymosin_beta-10
503,Thymosin_beta-11
447,Thymosin_beta-12
405,Thymosin_beta-4
524,Thymosin_beta-8
489,Thymosin_beta-a
520,Thymosin_beta-b
176,Thyroid-stimulating_hormone_subunit_beta
71,Thyroliberin
682,Tigerinin
10,toxin
513,transcription_factor
468,transcription_regulator
802,transporter
674,transport-stimulating
50,Transthyretin
120,Trefoil_factor
253,trunk_protein
442,Trypanocidal
760,Trypsin_modulating_oostatic_factor
613,Tryptophyllin
195,Tuberoinfundibular_peptide
361,turritoxin
72,Urotensin_II
138,uteroglobin
703,vascular_permeability_enhancing
504,vasoconstrictor
282,VD1_RPD2_alpha_peptide
243,VEGF_co_regulated_chemokine_1
386,Venom_peptide
741,Venom_peptide_vasodilator_peptide
419,Vespid_chemotactic_peptide
241,vespryn
388,Vitellogenesis-inhibiting_hormone
696,Waglerin
807,wide_spectrum_of_activity
180,wound_healing
746,WWamide
620,X-CDCP
396,Xenoxin
428,xin_AETX
306,xin_protein_KITx
105,xin_PsTX_60
692,xin_Tc46_61
735,xin_Tc50_43
207,xin_TxP_I
